id_cargo,liquidacion,transportista,acuerdo,referencia,concepto,monto,moneda
CH-P1-000000-0,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000000-0,FLETE_BASE,1000.00,ARS
CH-P1-000000-1,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000000-1,FLETE_BASE,1000.00,ARS
CH-P1-000000-2,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000000-2,FLETE_BASE,1000.00,ARS
CH-P1-000000-3,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000000-3,FLETE_BASE,1000.00,ARS
CH-P1-000000-4,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000000-4,FLETE_BASE,1000.00,ARS
CH-P2-000000-0,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000000-0,FLETE_BASE,1200.00,ARS
CH-P2-000000-1,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000000-1,FLETE_BASE,1200.00,ARS
CH-P2-000000-2,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-P2-000000-2,FLETE_BASE,1200.00,ARS
CH-FE1-000000,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE1-000000,FLETE_BASE,1350.00,ARS
CH-FE2-000000,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-FE2-000000,FLETE_BASE,1150.00,ARS
CH-FD-000000,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-FD-000000,FLETE_BASE,750.00,ARS
CH-REV-000000,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-REV-000000,SEGURO,200.00,ARS
CH-UND-000000,LIQ-ARS-000000,TRANSPORTISTA-DESCONOCIDO,AGR-SCALE-ARS,REM-NOEXIST-000000,FLETE_BASE,1000.00,ARS
CH-USD-OC1-000000,LIQ-USD-000000,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC1-000000,FLETE_MARITIMO,500.00,USD
CH-USD-OC2-000000,LIQ-USD-000000,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-OC2-000000,FLETE_MARITIMO,500.00,USD
CH-USD-PT-000000,LIQ-USD-000000,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-PT-000000,GASTOS_PUERTO,150.00,USD
CH-USD-FAIL-000000,LIQ-USD-000000,GLOBAL-CARGO,AGR-SCALE-USD,REM-USD-FAIL-000000,FLETE_MARITIMO,620.00,USD
CH-N1-000000,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-N1-000000,FLETE_BASE,1000.00,ARS
CH-1N-BASE-000000,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000000,FLETE_BASE,1000.00,ARS
CH-1N-SEG-000000,LIQ-ARS-000000,EXPRESO-SUR,AGR-SCALE-ARS,REM-1N-000000,SEGURO,200.00,ARS
CH-P1-000001-0,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000001-0,FLETE_BASE,1000.00,ARS
CH-P1-000001-1,LIQ-ARS-000001,EXPRESO-SUR,AGR-SCALE-ARS,REM-P1-000001-1,FLETE_BASE,1000.00,ARS
