id_remito,transportista,referencia,fecha
SH-P1-000000-0,EXPRESO-SUR,REM-P1-000000-0,2026-03-15
SH-P1-000000-1,EXPRESO-SUR,REM-P1-000000-1,2026-03-15
SH-P1-000000-2,EXPRESO-SUR,REM-P1-000000-2,2026-03-15
SH-P1-000000-3,EXPRESO-SUR,REM-P1-000000-3,2026-03-15
SH-P1-000000-4,EXPRESO-SUR,REM-P1-000000-4,2026-03-15
SH-P2-000000-0,EXPRESO-SUR,REM-P2-000000-0,2026-08-10
SH-P2-000000-1,EXPRESO-SUR,REM-P2-000000-1,2026-08-10
SH-P2-000000-2,EXPRESO-SUR,REM-P2-000000-2,2026-08-10
SH-FE1-000000,EXPRESO-SUR,REM-FE1-000000,2026-03-20
SH-FE2-000000,EXPRESO-SUR,REM-FE2-000000,2026-03-21
SH-FD-000000,EXPRESO-SUR,REM-FD-000000,2026-03-22
SH-REV-000000,EXPRESO-SUR,REM-REV-000000,2026-03-23
SH-USD-OC1-000000,GLOBAL-CARGO,REM-USD-OC1-000000,2026-04-01
SH-USD-OC2-000000,GLOBAL-CARGO,REM-USD-OC2-000000,2026-04-02
SH-USD-PT-000000,GLOBAL-CARGO,REM-USD-PT-000000,2026-04-03
SH-USD-FAIL-000000,GLOBAL-CARGO,REM-USD-FAIL-000000,2026-04-04
SH-N1-A-000000,EXPRESO-SUR,REM-N1-000000,2026-03-25
SH-N1-B-000000,EXPRESO-SUR,REM-N1-000000,2026-03-25
SH-1N-000000,EXPRESO-SUR,REM-1N-000000,2026-03-26
SH-P1-000001-0,EXPRESO-SUR,REM-P1-000001-0,2026-03-15
SH-P1-000001-1,EXPRESO-SUR,REM-P1-000001-1,2026-03-15
SH-P1-000001-2,EXPRESO-SUR,REM-P1-000001-2,2026-03-15
SH-P1-000001-3,EXPRESO-SUR,REM-P1-000001-3,2026-03-15
SH-P1-000001-4,EXPRESO-SUR,REM-P1-000001-4,2026-03-15
SH-P2-000001-0,EXPRESO-SUR,REM-P2-000001-0,2026-08-10
SH-P2-000001-1,EXPRESO-SUR,REM-P2-000001-1,2026-08-10
SH-P2-000001-2,EXPRESO-SUR,REM-P2-000001-2,2026-08-10
SH-FE1-000001,EXPRESO-SUR,REM-FE1-000001,2026-03-20
SH-FE2-000001,EXPRESO-SUR,REM-FE2-000001,2026-03-21
SH-FD-000001,EXPRESO-SUR,REM-FD-000001,2026-03-22
SH-REV-000001,EXPRESO-SUR,REM-REV-000001,2026-03-23
SH-USD-OC1-000001,GLOBAL-CARGO,REM-USD-OC1-000001,2026-04-01
SH-USD-OC2-000001,GLOBAL-CARGO,REM-USD-OC2-000001,2026-04-02
SH-USD-PT-000001,GLOBAL-CARGO,REM-USD-PT-000001,2026-04-03
SH-USD-FAIL-000001,GLOBAL-CARGO,REM-USD-FAIL-000001,2026-04-04
SH-N1-A-000001,EXPRESO-SUR,REM-N1-000001,2026-03-25
SH-N1-B-000001,EXPRESO-SUR,REM-N1-000001,2026-03-25
SH-1N-000001,EXPRESO-SUR,REM-1N-000001,2026-03-26
SH-P1-000002-0,EXPRESO-SUR,REM-P1-000002-0,2026-03-15
SH-P1-000002-1,EXPRESO-SUR,REM-P1-000002-1,2026-03-15
SH-P1-000002-2,EXPRESO-SUR,REM-P1-000002-2,2026-03-15
SH-P1-000002-3,EXPRESO-SUR,REM-P1-000002-3,2026-03-15
SH-P1-000002-4,EXPRESO-SUR,REM-P1-000002-4,2026-03-15
SH-P2-000002-0,EXPRESO-SUR,REM-P2-000002-0,2026-08-10
SH-P2-000002-1,EXPRESO-SUR,REM-P2-000002-1,2026-08-10
SH-P2-000002-2,EXPRESO-SUR,REM-P2-000002-2,2026-08-10
SH-FE1-000002,EXPRESO-SUR,REM-FE1-000002,2026-03-20
SH-FE2-000002,EXPRESO-SUR,REM-FE2-000002,2026-03-21
SH-FD-000002,EXPRESO-SUR,REM-FD-000002,2026-03-22
SH-REV-000002,EXPRESO-SUR,REM-REV-000002,2026-03-23
SH-USD-OC1-000002,GLOBAL-CARGO,REM-USD-OC1-000002,2026-04-01
SH-USD-OC2-000002,GLOBAL-CARGO,REM-USD-OC2-000002,2026-04-02
SH-USD-PT-000002,GLOBAL-CARGO,REM-USD-PT-000002,2026-04-03
SH-USD-FAIL-000002,GLOBAL-CARGO,REM-USD-FAIL-000002,2026-04-04
SH-N1-A-000002,EXPRESO-SUR,REM-N1-000002,2026-03-25
SH-N1-B-000002,EXPRESO-SUR,REM-N1-000002,2026-03-25
SH-1N-000002,EXPRESO-SUR,REM-1N-000002,2026-03-26
SH-P1-000003-0,EXPRESO-SUR,REM-P1-000003-0,2026-03-15
SH-P1-000003-1,EXPRESO-SUR,REM-P1-000003-1,2026-03-15
SH-P1-000003-2,EXPRESO-SUR,REM-P1-000003-2,2026-03-15
SH-P1-000003-3,EXPRESO-SUR,REM-P1-000003-3,2026-03-15
SH-P1-000003-4,EXPRESO-SUR,REM-P1-000003-4,2026-03-15
SH-P2-000003-0,EXPRESO-SUR,REM-P2-000003-0,2026-08-10
SH-P2-000003-1,EXPRESO-SUR,REM-P2-000003-1,2026-08-10
SH-P2-000003-2,EXPRESO-SUR,REM-P2-000003-2,2026-08-10
SH-FE1-000003,EXPRESO-SUR,REM-FE1-000003,2026-03-20
SH-FE2-000003,EXPRESO-SUR,REM-FE2-000003,2026-03-21
SH-FD-000003,EXPRESO-SUR,REM-FD-000003,2026-03-22
SH-REV-000003,EXPRESO-SUR,REM-REV-000003,2026-03-23
SH-USD-OC1-000003,GLOBAL-CARGO,REM-USD-OC1-000003,2026-04-01
SH-USD-OC2-000003,GLOBAL-CARGO,REM-USD-OC2-000003,2026-04-02
SH-USD-PT-000003,GLOBAL-CARGO,REM-USD-PT-000003,2026-04-03
SH-USD-FAIL-000003,GLOBAL-CARGO,REM-USD-FAIL-000003,2026-04-04
SH-N1-A-000003,EXPRESO-SUR,REM-N1-000003,2026-03-25
SH-N1-B-000003,EXPRESO-SUR,REM-N1-000003,2026-03-25
SH-1N-000003,EXPRESO-SUR,REM-1N-000003,2026-03-26
SH-P1-000004-0,EXPRESO-SUR,REM-P1-000004-0,2026-03-15
SH-P1-000004-1,EXPRESO-SUR,REM-P1-000004-1,2026-03-15
SH-P1-000004-2,EXPRESO-SUR,REM-P1-000004-2,2026-03-15
SH-P1-000004-3,EXPRESO-SUR,REM-P1-000004-3,2026-03-15
SH-P1-000004-4,EXPRESO-SUR,REM-P1-000004-4,2026-03-15
SH-P2-000004-0,EXPRESO-SUR,REM-P2-000004-0,2026-08-10
SH-P2-000004-1,EXPRESO-SUR,REM-P2-000004-1,2026-08-10
SH-P2-000004-2,EXPRESO-SUR,REM-P2-000004-2,2026-08-10
SH-FE1-000004,EXPRESO-SUR,REM-FE1-000004,2026-03-20
SH-FE2-000004,EXPRESO-SUR,REM-FE2-000004,2026-03-21
SH-FD-000004,EXPRESO-SUR,REM-FD-000004,2026-03-22
SH-REV-000004,EXPRESO-SUR,REM-REV-000004,2026-03-23
SH-USD-OC1-000004,GLOBAL-CARGO,REM-USD-OC1-000004,2026-04-01
SH-USD-OC2-000004,GLOBAL-CARGO,REM-USD-OC2-000004,2026-04-02
SH-USD-PT-000004,GLOBAL-CARGO,REM-USD-PT-000004,2026-04-03
SH-USD-FAIL-000004,GLOBAL-CARGO,REM-USD-FAIL-000004,2026-04-04
SH-N1-A-000004,EXPRESO-SUR,REM-N1-000004,2026-03-25
SH-N1-B-000004,EXPRESO-SUR,REM-N1-000004,2026-03-25
SH-1N-000004,EXPRESO-SUR,REM-1N-000004,2026-03-26
SH-P1-000005-0,EXPRESO-SUR,REM-P1-000005-0,2026-03-15
SH-P1-000005-1,EXPRESO-SUR,REM-P1-000005-1,2026-03-15
SH-P1-000005-2,EXPRESO-SUR,REM-P1-000005-2,2026-03-15
SH-P1-000005-3,EXPRESO-SUR,REM-P1-000005-3,2026-03-15
SH-P1-000005-4,EXPRESO-SUR,REM-P1-000005-4,2026-03-15
SH-P2-000005-0,EXPRESO-SUR,REM-P2-000005-0,2026-08-10
SH-P2-000005-1,EXPRESO-SUR,REM-P2-000005-1,2026-08-10
SH-P2-000005-2,EXPRESO-SUR,REM-P2-000005-2,2026-08-10
SH-FE1-000005,EXPRESO-SUR,REM-FE1-000005,2026-03-20
SH-FE2-000005,EXPRESO-SUR,REM-FE2-000005,2026-03-21
SH-FD-000005,EXPRESO-SUR,REM-FD-000005,2026-03-22
SH-REV-000005,EXPRESO-SUR,REM-REV-000005,2026-03-23
SH-USD-OC1-000005,GLOBAL-CARGO,REM-USD-OC1-000005,2026-04-01
SH-USD-OC2-000005,GLOBAL-CARGO,REM-USD-OC2-000005,2026-04-02
SH-USD-PT-000005,GLOBAL-CARGO,REM-USD-PT-000005,2026-04-03
SH-USD-FAIL-000005,GLOBAL-CARGO,REM-USD-FAIL-000005,2026-04-04
SH-N1-A-000005,EXPRESO-SUR,REM-N1-000005,2026-03-25
SH-N1-B-000005,EXPRESO-SUR,REM-N1-000005,2026-03-25
SH-1N-000005,EXPRESO-SUR,REM-1N-000005,2026-03-26
SH-P1-000006-0,EXPRESO-SUR,REM-P1-000006-0,2026-03-15
SH-P1-000006-1,EXPRESO-SUR,REM-P1-000006-1,2026-03-15
SH-P1-000006-2,EXPRESO-SUR,REM-P1-000006-2,2026-03-15
SH-P1-000006-3,EXPRESO-SUR,REM-P1-000006-3,2026-03-15
SH-P1-000006-4,EXPRESO-SUR,REM-P1-000006-4,2026-03-15
SH-P2-000006-0,EXPRESO-SUR,REM-P2-000006-0,2026-08-10
SH-P2-000006-1,EXPRESO-SUR,REM-P2-000006-1,2026-08-10
SH-P2-000006-2,EXPRESO-SUR,REM-P2-000006-2,2026-08-10
SH-FE1-000006,EXPRESO-SUR,REM-FE1-000006,2026-03-20
SH-FE2-000006,EXPRESO-SUR,REM-FE2-000006,2026-03-21
SH-FD-000006,EXPRESO-SUR,REM-FD-000006,2026-03-22
SH-REV-000006,EXPRESO-SUR,REM-REV-000006,2026-03-23
SH-USD-OC1-000006,GLOBAL-CARGO,REM-USD-OC1-000006,2026-04-01
SH-USD-OC2-000006,GLOBAL-CARGO,REM-USD-OC2-000006,2026-04-02
SH-USD-PT-000006,GLOBAL-CARGO,REM-USD-PT-000006,2026-04-03
SH-USD-FAIL-000006,GLOBAL-CARGO,REM-USD-FAIL-000006,2026-04-04
SH-N1-A-000006,EXPRESO-SUR,REM-N1-000006,2026-03-25
SH-N1-B-000006,EXPRESO-SUR,REM-N1-000006,2026-03-25
SH-1N-000006,EXPRESO-SUR,REM-1N-000006,2026-03-26
SH-P1-000007-0,EXPRESO-SUR,REM-P1-000007-0,2026-03-15
SH-P1-000007-1,EXPRESO-SUR,REM-P1-000007-1,2026-03-15
SH-P1-000007-2,EXPRESO-SUR,REM-P1-000007-2,2026-03-15
SH-P1-000007-3,EXPRESO-SUR,REM-P1-000007-3,2026-03-15
SH-P1-000007-4,EXPRESO-SUR,REM-P1-000007-4,2026-03-15
SH-P2-000007-0,EXPRESO-SUR,REM-P2-000007-0,2026-08-10
SH-P2-000007-1,EXPRESO-SUR,REM-P2-000007-1,2026-08-10
SH-P2-000007-2,EXPRESO-SUR,REM-P2-000007-2,2026-08-10
SH-FE1-000007,EXPRESO-SUR,REM-FE1-000007,2026-03-20
SH-FE2-000007,EXPRESO-SUR,REM-FE2-000007,2026-03-21
SH-FD-000007,EXPRESO-SUR,REM-FD-000007,2026-03-22
SH-REV-000007,EXPRESO-SUR,REM-REV-000007,2026-03-23
SH-USD-OC1-000007,GLOBAL-CARGO,REM-USD-OC1-000007,2026-04-01
SH-USD-OC2-000007,GLOBAL-CARGO,REM-USD-OC2-000007,2026-04-02
SH-USD-PT-000007,GLOBAL-CARGO,REM-USD-PT-000007,2026-04-03
SH-USD-FAIL-000007,GLOBAL-CARGO,REM-USD-FAIL-000007,2026-04-04
SH-N1-A-000007,EXPRESO-SUR,REM-N1-000007,2026-03-25
SH-N1-B-000007,EXPRESO-SUR,REM-N1-000007,2026-03-25
SH-1N-000007,EXPRESO-SUR,REM-1N-000007,2026-03-26
SH-P1-000008-0,EXPRESO-SUR,REM-P1-000008-0,2026-03-15
SH-P1-000008-1,EXPRESO-SUR,REM-P1-000008-1,2026-03-15
SH-P1-000008-2,EXPRESO-SUR,REM-P1-000008-2,2026-03-15
SH-P1-000008-3,EXPRESO-SUR,REM-P1-000008-3,2026-03-15
SH-P1-000008-4,EXPRESO-SUR,REM-P1-000008-4,2026-03-15
SH-P2-000008-0,EXPRESO-SUR,REM-P2-000008-0,2026-08-10
SH-P2-000008-1,EXPRESO-SUR,REM-P2-000008-1,2026-08-10
SH-P2-000008-2,EXPRESO-SUR,REM-P2-000008-2,2026-08-10
SH-FE1-000008,EXPRESO-SUR,REM-FE1-000008,2026-03-20
SH-FE2-000008,EXPRESO-SUR,REM-FE2-000008,2026-03-21
SH-FD-000008,EXPRESO-SUR,REM-FD-000008,2026-03-22
SH-REV-000008,EXPRESO-SUR,REM-REV-000008,2026-03-23
SH-USD-OC1-000008,GLOBAL-CARGO,REM-USD-OC1-000008,2026-04-01
SH-USD-OC2-000008,GLOBAL-CARGO,REM-USD-OC2-000008,2026-04-02
SH-USD-PT-000008,GLOBAL-CARGO,REM-USD-PT-000008,2026-04-03
SH-USD-FAIL-000008,GLOBAL-CARGO,REM-USD-FAIL-000008,2026-04-04
SH-N1-A-000008,EXPRESO-SUR,REM-N1-000008,2026-03-25
SH-N1-B-000008,EXPRESO-SUR,REM-N1-000008,2026-03-25
SH-1N-000008,EXPRESO-SUR,REM-1N-000008,2026-03-26
SH-P1-000009-0,EXPRESO-SUR,REM-P1-000009-0,2026-03-15
SH-P1-000009-1,EXPRESO-SUR,REM-P1-000009-1,2026-03-15
SH-P1-000009-2,EXPRESO-SUR,REM-P1-000009-2,2026-03-15
SH-P1-000009-3,EXPRESO-SUR,REM-P1-000009-3,2026-03-15
SH-P1-000009-4,EXPRESO-SUR,REM-P1-000009-4,2026-03-15
SH-P2-000009-0,EXPRESO-SUR,REM-P2-000009-0,2026-08-10
SH-P2-000009-1,EXPRESO-SUR,REM-P2-000009-1,2026-08-10
SH-P2-000009-2,EXPRESO-SUR,REM-P2-000009-2,2026-08-10
SH-FE1-000009,EXPRESO-SUR,REM-FE1-000009,2026-03-20
SH-FE2-000009,EXPRESO-SUR,REM-FE2-000009,2026-03-21
SH-FD-000009,EXPRESO-SUR,REM-FD-000009,2026-03-22
SH-REV-000009,EXPRESO-SUR,REM-REV-000009,2026-03-23
SH-USD-OC1-000009,GLOBAL-CARGO,REM-USD-OC1-000009,2026-04-01
SH-USD-OC2-000009,GLOBAL-CARGO,REM-USD-OC2-000009,2026-04-02
SH-USD-PT-000009,GLOBAL-CARGO,REM-USD-PT-000009,2026-04-03
SH-USD-FAIL-000009,GLOBAL-CARGO,REM-USD-FAIL-000009,2026-04-04
SH-N1-A-000009,EXPRESO-SUR,REM-N1-000009,2026-03-25
SH-N1-B-000009,EXPRESO-SUR,REM-N1-000009,2026-03-25
SH-1N-000009,EXPRESO-SUR,REM-1N-000009,2026-03-26
SH-P1-000010-0,EXPRESO-SUR,REM-P1-000010-0,2026-03-15
SH-P1-000010-1,EXPRESO-SUR,REM-P1-000010-1,2026-03-15
SH-P1-000010-2,EXPRESO-SUR,REM-P1-000010-2,2026-03-15
SH-P1-000010-3,EXPRESO-SUR,REM-P1-000010-3,2026-03-15
SH-P1-000010-4,EXPRESO-SUR,REM-P1-000010-4,2026-03-15
SH-P2-000010-0,EXPRESO-SUR,REM-P2-000010-0,2026-08-10
SH-P2-000010-1,EXPRESO-SUR,REM-P2-000010-1,2026-08-10
SH-P2-000010-2,EXPRESO-SUR,REM-P2-000010-2,2026-08-10
SH-FE1-000010,EXPRESO-SUR,REM-FE1-000010,2026-03-20
SH-FE2-000010,EXPRESO-SUR,REM-FE2-000010,2026-03-21
SH-FD-000010,EXPRESO-SUR,REM-FD-000010,2026-03-22
SH-REV-000010,EXPRESO-SUR,REM-REV-000010,2026-03-23
SH-USD-OC1-000010,GLOBAL-CARGO,REM-USD-OC1-000010,2026-04-01
SH-USD-OC2-000010,GLOBAL-CARGO,REM-USD-OC2-000010,2026-04-02
SH-USD-PT-000010,GLOBAL-CARGO,REM-USD-PT-000010,2026-04-03
SH-USD-FAIL-000010,GLOBAL-CARGO,REM-USD-FAIL-000010,2026-04-04
SH-N1-A-000010,EXPRESO-SUR,REM-N1-000010,2026-03-25
SH-N1-B-000010,EXPRESO-SUR,REM-N1-000010,2026-03-25
SH-1N-000010,EXPRESO-SUR,REM-1N-000010,2026-03-26
SH-P1-000011-0,EXPRESO-SUR,REM-P1-000011-0,2026-03-15
SH-P1-000011-1,EXPRESO-SUR,REM-P1-000011-1,2026-03-15
SH-P1-000011-2,EXPRESO-SUR,REM-P1-000011-2,2026-03-15
SH-P1-000011-3,EXPRESO-SUR,REM-P1-000011-3,2026-03-15
SH-P1-000011-4,EXPRESO-SUR,REM-P1-000011-4,2026-03-15
SH-P2-000011-0,EXPRESO-SUR,REM-P2-000011-0,2026-08-10
SH-P2-000011-1,EXPRESO-SUR,REM-P2-000011-1,2026-08-10
SH-P2-000011-2,EXPRESO-SUR,REM-P2-000011-2,2026-08-10
SH-FE1-000011,EXPRESO-SUR,REM-FE1-000011,2026-03-20
SH-FE2-000011,EXPRESO-SUR,REM-FE2-000011,2026-03-21
SH-FD-000011,EXPRESO-SUR,REM-FD-000011,2026-03-22
SH-REV-000011,EXPRESO-SUR,REM-REV-000011,2026-03-23
SH-USD-OC1-000011,GLOBAL-CARGO,REM-USD-OC1-000011,2026-04-01
SH-USD-OC2-000011,GLOBAL-CARGO,REM-USD-OC2-000011,2026-04-02
SH-USD-PT-000011,GLOBAL-CARGO,REM-USD-PT-000011,2026-04-03
SH-USD-FAIL-000011,GLOBAL-CARGO,REM-USD-FAIL-000011,2026-04-04
SH-N1-A-000011,EXPRESO-SUR,REM-N1-000011,2026-03-25
SH-N1-B-000011,EXPRESO-SUR,REM-N1-000011,2026-03-25
SH-1N-000011,EXPRESO-SUR,REM-1N-000011,2026-03-26
SH-P1-000012-0,EXPRESO-SUR,REM-P1-000012-0,2026-03-15
SH-P1-000012-1,EXPRESO-SUR,REM-P1-000012-1,2026-03-15
SH-P1-000012-2,EXPRESO-SUR,REM-P1-000012-2,2026-03-15
SH-P1-000012-3,EXPRESO-SUR,REM-P1-000012-3,2026-03-15
SH-P1-000012-4,EXPRESO-SUR,REM-P1-000012-4,2026-03-15
SH-P2-000012-0,EXPRESO-SUR,REM-P2-000012-0,2026-08-10
SH-P2-000012-1,EXPRESO-SUR,REM-P2-000012-1,2026-08-10
SH-P2-000012-2,EXPRESO-SUR,REM-P2-000012-2,2026-08-10
SH-FE1-000012,EXPRESO-SUR,REM-FE1-000012,2026-03-20
SH-FE2-000012,EXPRESO-SUR,REM-FE2-000012,2026-03-21
SH-FD-000012,EXPRESO-SUR,REM-FD-000012,2026-03-22
SH-REV-000012,EXPRESO-SUR,REM-REV-000012,2026-03-23
SH-USD-OC1-000012,GLOBAL-CARGO,REM-USD-OC1-000012,2026-04-01
SH-USD-OC2-000012,GLOBAL-CARGO,REM-USD-OC2-000012,2026-04-02
SH-USD-PT-000012,GLOBAL-CARGO,REM-USD-PT-000012,2026-04-03
SH-USD-FAIL-000012,GLOBAL-CARGO,REM-USD-FAIL-000012,2026-04-04
SH-N1-A-000012,EXPRESO-SUR,REM-N1-000012,2026-03-25
SH-N1-B-000012,EXPRESO-SUR,REM-N1-000012,2026-03-25
SH-1N-000012,EXPRESO-SUR,REM-1N-000012,2026-03-26
SH-P1-000013-0,EXPRESO-SUR,REM-P1-000013-0,2026-03-15
SH-P1-000013-1,EXPRESO-SUR,REM-P1-000013-1,2026-03-15
SH-P1-000013-2,EXPRESO-SUR,REM-P1-000013-2,2026-03-15
SH-P1-000013-3,EXPRESO-SUR,REM-P1-000013-3,2026-03-15
SH-P1-000013-4,EXPRESO-SUR,REM-P1-000013-4,2026-03-15
SH-P2-000013-0,EXPRESO-SUR,REM-P2-000013-0,2026-08-10
SH-P2-000013-1,EXPRESO-SUR,REM-P2-000013-1,2026-08-10
SH-P2-000013-2,EXPRESO-SUR,REM-P2-000013-2,2026-08-10
SH-FE1-000013,EXPRESO-SUR,REM-FE1-000013,2026-03-20
SH-FE2-000013,EXPRESO-SUR,REM-FE2-000013,2026-03-21
SH-FD-000013,EXPRESO-SUR,REM-FD-000013,2026-03-22
SH-REV-000013,EXPRESO-SUR,REM-REV-000013,2026-03-23
SH-USD-OC1-000013,GLOBAL-CARGO,REM-USD-OC1-000013,2026-04-01
SH-USD-OC2-000013,GLOBAL-CARGO,REM-USD-OC2-000013,2026-04-02
SH-USD-PT-000013,GLOBAL-CARGO,REM-USD-PT-000013,2026-04-03
SH-USD-FAIL-000013,GLOBAL-CARGO,REM-USD-FAIL-000013,2026-04-04
SH-N1-A-000013,EXPRESO-SUR,REM-N1-000013,2026-03-25
SH-N1-B-000013,EXPRESO-SUR,REM-N1-000013,2026-03-25
SH-1N-000013,EXPRESO-SUR,REM-1N-000013,2026-03-26
SH-P1-000014-0,EXPRESO-SUR,REM-P1-000014-0,2026-03-15
SH-P1-000014-1,EXPRESO-SUR,REM-P1-000014-1,2026-03-15
SH-P1-000014-2,EXPRESO-SUR,REM-P1-000014-2,2026-03-15
SH-P1-000014-3,EXPRESO-SUR,REM-P1-000014-3,2026-03-15
SH-P1-000014-4,EXPRESO-SUR,REM-P1-000014-4,2026-03-15
SH-P2-000014-0,EXPRESO-SUR,REM-P2-000014-0,2026-08-10
SH-P2-000014-1,EXPRESO-SUR,REM-P2-000014-1,2026-08-10
SH-P2-000014-2,EXPRESO-SUR,REM-P2-000014-2,2026-08-10
SH-FE1-000014,EXPRESO-SUR,REM-FE1-000014,2026-03-20
SH-FE2-000014,EXPRESO-SUR,REM-FE2-000014,2026-03-21
SH-FD-000014,EXPRESO-SUR,REM-FD-000014,2026-03-22
SH-REV-000014,EXPRESO-SUR,REM-REV-000014,2026-03-23
SH-USD-OC1-000014,GLOBAL-CARGO,REM-USD-OC1-000014,2026-04-01
SH-USD-OC2-000014,GLOBAL-CARGO,REM-USD-OC2-000014,2026-04-02
SH-USD-PT-000014,GLOBAL-CARGO,REM-USD-PT-000014,2026-04-03
SH-USD-FAIL-000014,GLOBAL-CARGO,REM-USD-FAIL-000014,2026-04-04
SH-N1-A-000014,EXPRESO-SUR,REM-N1-000014,2026-03-25
SH-N1-B-000014,EXPRESO-SUR,REM-N1-000014,2026-03-25
SH-1N-000014,EXPRESO-SUR,REM-1N-000014,2026-03-26
SH-P1-000015-0,EXPRESO-SUR,REM-P1-000015-0,2026-03-15
SH-P1-000015-1,EXPRESO-SUR,REM-P1-000015-1,2026-03-15
SH-P1-000015-2,EXPRESO-SUR,REM-P1-000015-2,2026-03-15
SH-P1-000015-3,EXPRESO-SUR,REM-P1-000015-3,2026-03-15
SH-P1-000015-4,EXPRESO-SUR,REM-P1-000015-4,2026-03-15
SH-P2-000015-0,EXPRESO-SUR,REM-P2-000015-0,2026-08-10
SH-P2-000015-1,EXPRESO-SUR,REM-P2-000015-1,2026-08-10
SH-P2-000015-2,EXPRESO-SUR,REM-P2-000015-2,2026-08-10
SH-FE1-000015,EXPRESO-SUR,REM-FE1-000015,2026-03-20
SH-FE2-000015,EXPRESO-SUR,REM-FE2-000015,2026-03-21
SH-FD-000015,EXPRESO-SUR,REM-FD-000015,2026-03-22
SH-REV-000015,EXPRESO-SUR,REM-REV-000015,2026-03-23
SH-USD-OC1-000015,GLOBAL-CARGO,REM-USD-OC1-000015,2026-04-01
SH-USD-OC2-000015,GLOBAL-CARGO,REM-USD-OC2-000015,2026-04-02
SH-USD-PT-000015,GLOBAL-CARGO,REM-USD-PT-000015,2026-04-03
SH-USD-FAIL-000015,GLOBAL-CARGO,REM-USD-FAIL-000015,2026-04-04
SH-N1-A-000015,EXPRESO-SUR,REM-N1-000015,2026-03-25
SH-N1-B-000015,EXPRESO-SUR,REM-N1-000015,2026-03-25
SH-1N-000015,EXPRESO-SUR,REM-1N-000015,2026-03-26
SH-P1-000016-0,EXPRESO-SUR,REM-P1-000016-0,2026-03-15
SH-P1-000016-1,EXPRESO-SUR,REM-P1-000016-1,2026-03-15
